Province_State,Country_Region,Date,Latitude,Longitude,Confirmed,Deaths,Recovered,Active,Active_Diff
,Afghanistan,1/20/2025,33.93911,67.709953,177191,7654,,0.0,0.0
,Albania,1/20/2025,41.1533,20.1683,273088,3487,,0.0,0.0
,Algeria,1/20/2025,28.0339,1.6596,265562,6872,,0.0,0.0
,Andorra,1/20/2025,42.5063,1.5218,39234,153,,0.0,0.0
,Angola,1/20/2025,-11.2027,17.8739,99010,1900,,0.0,0.0
,Antarctica,1/20/2025,-71.9499,23.347,11,0,,0.0,0.0
,Antigua and Barbuda,1/20/2025,17.0608,-61.7964,7473,135,,0.0,0.0
,Argentina,1/20/2025,-38.4161,-63.6167,9011367,127599,,0.0,0.0
,Armenia,1/20/2025,40.0691,45.0382,422328,8598,,0.0,0.0
Australian Capital Territory,Australia,1/20/2025,-35.4735,149.0124,68257,38,,0.0,0.0
New South Wales,Australia,1/20/2025,-33.8688,151.2093,1623168,2029,,0.0,0.0
Northern Territory,Australia,1/20/2025,-12.4634,130.8456,46701,32,,0.0,0.0
Queensland,Australia,1/20/2025,-27.4698,153.0251,681130,694,,0.0,0.0
South Australia,Australia,1/20/2025,-34.9285,138.6007,211176,238,,0.0,0.0
Tasmania,Australia,1/20/2025,-42.8821,147.3272,71353,28,,0.0,0.0
Victoria,Australia,1/20/2025,-37.8136,144.9631,1195179,2682,,0.0,0.0
Western Australia,Australia,1/20/2025,-31.9505,115.8605,99467,22,,0.0,0.0
,Austria,1/20/2025,47.5162,14.5501,3499819,18559,,0.0,0.0
,Azerbaijan,1/20/2025,40.1431,47.5769,791511,9659,,0.0,0.0
,Bahamas,1/20/2025,25.025885,-78.035889,33230,787,,0.0,0.0
,Bahrain,1/20/2025,26.0275,50.55,545761,1465,,0.0,0.0
,Bangladesh,1/20/2025,23.685,90.3563,1950725,29117,,0.0,0.0
,Barbados,1/20/2025,13.1939,-59.5432,57800,329,,0.0,0.0
,Belarus,1/20/2025,53.7098,27.9534,951758,6727,,0.0,0.0
Antwerp,Belgium,1/20/2025,51.2195,4.4024,579478,0,,0.0,0.0
Brussels,Belgium,1/20/2025,50.8503,4.3517,421819,0,,0.0,0.0
East Flanders,Belgium,1/20/2025,51.0362,3.7373,484266,0,,0.0,0.0
Flemish Brabant,Belgium,1/20/2025,50.9167,4.5833,349246,0,,0.0,0.0
Hainaut,Belgium,1/20/2025,50.5257,4.0621,424895,0,,0.0,0.0
Liege,Belgium,1/20/2025,50.4496,5.8492,352339,0,,0.0,0.0
Limburg,Belgium,1/20/2025,50.9739,5.3420000000000005,272283,0,,0.0,0.0
Luxembourg,Belgium,1/20/2025,50.0547,5.4677,97305,0,,0.0,0.0
Namur,Belgium,1/20/2025,50.331,4.8221,164818,0,,0.0,0.0
Unknown,Belgium,1/20/2025,,,54415,30575,,0.0,0.0
Walloon Brabant,Belgium,1/20/2025,50.4,4.35,138695,0,,0.0,0.0
West Flanders,Belgium,1/20/2025,51.0536,3.1458,389386,0,,0.0,0.0
,Belize,1/20/2025,17.1899,-88.4976,57168,654,,0.0,0.0
,Benin,1/20/2025,9.3077,2.3158,26952,163,,0.0,0.0
,Bhutan,1/20/2025,27.5142,90.4336,22385,9,,0.0,0.0
,Bolivia,1/20/2025,-16.2902,-63.5887,899999,21483,,0.0,0.0
,Bosnia and Herzegovina,1/20/2025,43.9159,17.6791,374276,15677,,0.0,0.0
,Botswana,1/20/2025,-22.3285,24.6849,263950,2619,,0.0,0.0
Acre,Brazil,1/20/2025,-9.0238,-70.812,123669,1990,,0.0,0.0
Alagoas,Brazil,1/20/2025,-9.5713,-36.782,295328,6850,,0.0,0.0
Amapa,Brazil,1/20/2025,0.902,-52.003,160265,2120,,0.0,0.0
Amazonas,Brazil,1/20/2025,-3.4168,-65.8561,580691,14147,,0.0,0.0
Bahia,Brazil,1/20/2025,-12.5797,-41.7007,1524552,29601,,0.0,0.0
Ceara,Brazil,1/20/2025,-5.4984,-39.3206,1236328,26666,,0.0,0.0
Distrito Federal,Brazil,1/20/2025,-15.7998,-47.8645,690163,11558,,0.0,0.0
Espirito Santo,Brazil,1/20/2025,-19.1834,-40.3089,1034922,14307,,0.0,0.0
Goias,Brazil,1/20/2025,-15.827,-49.8362,1250989,26067,,0.0,0.0
Maranhao,Brazil,1/20/2025,-4.9609,-45.2744,421995,10859,,0.0,0.0
Mato Grosso,Brazil,1/20/2025,-12.6819,-56.9211,721678,14847,,0.0,0.0
Mato Grosso do Sul,Brazil,1/20/2025,-20.7722,-54.7852,520487,10468,,0.0,0.0
Minas Gerais,Brazil,1/20/2025,-18.5122,-44.555,3297187,60564,,0.0,0.0
Para,Brazil,1/20/2025,-1.9981,-54.9306,746083,18045,,0.0,0.0
Paraiba,Brazil,1/20/2025,-7.24,-36.782,592364,10175,,0.0,0.0
Parana,Brazil,1/20/2025,-25.2521,-52.0215,2397823,42805,,0.0,0.0
Pernambuco,Brazil,1/20/2025,-8.8137,-36.9541,880707,21295,,0.0,0.0
Piaui,Brazil,1/20/2025,-7.7183,-42.7289,367257,7716,,0.0,0.0
Rio Grande do Norte,Brazil,1/20/2025,-5.4026,-36.9541,492824,8114,,0.0,0.0
Rio Grande do Sul,Brazil,1/20/2025,-30.0346,-51.2177,2241571,38885,,0.0,0.0
Rio de Janeiro,Brazil,1/20/2025,-22.9068,-43.1729,2059810,72497,,0.0,0.0
Rondonia,Brazil,1/20/2025,-11.5057,-63.5806,387822,7145,,0.0,0.0
Roraima,Brazil,1/20/2025,-2.7376,-62.0751,154838,2144,,0.0,0.0
Santa Catarina,Brazil,1/20/2025,-27.2423,-50.2189,1660871,21623,,0.0,0.0
Sao Paulo,Brazil,1/20/2025,-23.5505,-46.6333,5183837,166668,,0.0,0.0
Sergipe,Brazil,1/20/2025,-10.5741,-37.3857,324155,6299,,0.0,0.0
Tocantins,Brazil,1/20/2025,-10.1753,-48.2982,301866,4140,,0.0,0.0
,Brunei,1/20/2025,4.5353,114.7277,126109,193,,0.0,0.0
,Bulgaria,1/20/2025,42.7339,25.4858,1126146,36330,,0.0,0.0
,Burkina Faso,1/20/2025,12.2383,-1.5616,20813,379,,0.0,0.0
,Burma,1/20/2025,21.9162,95.956,609288,19425,,0.0,0.0
,Burundi,1/20/2025,-3.3731,29.9189,38372,38,,0.0,0.0
,Cabo Verde,1/20/2025,16.5388,-23.0418,55927,401,,0.0,0.0
,Cambodia,1/20/2025,11.55,104.9167,135085,3052,,0.0,0.0
,Cameroon,1/20/2025,3.848,11.5021,119544,1927,,0.0,0.0
Alberta,Canada,1/20/2025,53.9333,-116.5765,534285,4023,,0.0,0.0
British Columbia,Canada,1/20/2025,53.7267,-127.6476,354084,2974,,0.0,0.0
Diamond Princess,Canada,1/20/2025,,,0,1,,0.0,0.0
Grand Princess,Canada,1/20/2025,,,13,0,,0.0,0.0
Manitoba,Canada,1/20/2025,53.7609,-98.8139,134313,1731,,0.0,0.0
New Brunswick,Canada,1/20/2025,46.5653,-66.4619,42320,320,,0.0,0.0
Newfoundland and Labrador,Canada,1/20/2025,53.1355,-57.6604,33385,85,,0.0,0.0
Northwest Territories,Canada,1/20/2025,64.8255,-124.8457,9942,21,,0.0,0.0
Nova Scotia,Canada,1/20/2025,44.682,-63.7443,51359,232,,0.0,0.0
Nunavut,Canada,1/20/2025,70.2998,-83.1076,3331,5,,0.0,0.0
Ontario,Canada,1/20/2025,51.2538,-85.3232,1149464,12382,,0.0,0.0
Prince Edward Island,Canada,1/20/2025,46.5107,-63.4168,21307,16,,0.0,0.0
Quebec,Canada,1/20/2025,52.9399,-73.5491,945503,14265,,0.0,0.0
Repatriated Travellers,Canada,1/20/2025,,,13,0,,0.0,0.0
Saskatchewan,Canada,1/20/2025,52.9399,-106.4509,130133,1176,,0.0,0.0
Yukon,Canada,1/20/2025,64.2823,-135.0,3665,23,,0.0,0.0
,Central African Republic,1/20/2025,6.6111,20.9394,14649,113,,0.0,0.0
,Chad,1/20/2025,15.4542,18.7322,7286,190,,0.0,0.0
Antofagasta,Chile,1/20/2025,-23.6509,-70.3975,119314,1729,,0.0,0.0
Araucania,Chile,1/20/2025,-38.9489,-72.3311,207565,2457,,0.0,0.0
Arica y Parinacota,Chile,1/20/2025,-18.594,-69.4785,54250,802,,0.0,0.0
Atacama,Chile,1/20/2025,-27.5661,-70.0503,63273,561,,0.0,0.0
Aysen,Chile,1/20/2025,-45.9864,-73.7669,23908,169,,0.0,0.0
Biobio,Chile,1/20/2025,-37.4464,-72.1416,336270,4087,,0.0,0.0
Coquimbo,Chile,1/20/2025,-29.959,-71.3389,120065,1610,,0.0,0.0
Los Lagos,Chile,1/20/2025,-41.9198,-72.1416,187974,2228,,0.0,0.0
Los Rios,Chile,1/20/2025,-40.231,-72.3311,102790,1161,,0.0,0.0
Magallanes,Chile,1/20/2025,-52.368,-70.9863,49616,692,,0.0,0.0
Maule,Chile,1/20/2025,-35.5183,-71.6885,228006,2749,,0.0,0.0
Metropolitana,Chile,1/20/2025,-33.4376,-70.6505,1300866,27746,,0.0,0.0
Nuble,Chile,1/20/2025,-36.7226,-71.7622,95260,1044,,0.0,0.0
OHiggins,Chile,1/20/2025,-34.5755,-71.0022,142854,2433,,0.0,0.0
Tarapaca,Chile,1/20/2025,-19.9232,-69.5132,78412,1074,,0.0,0.0
Unknown,Chile,1/20/2025,,,43,2,,0.0,0.0
Valparaiso,Chile,1/20/2025,-33.0472,-71.6127,290679,5421,,0.0,0.0
Anhui,China,1/20/2025,31.8257,117.2264,1024,6,,0.0,0.0
Beijing,China,1/20/2025,40.1824,116.4142,1733,9,,0.0,0.0
Chongqing,China,1/20/2025,30.0572,107.874,686,6,,0.0,0.0
Fujian,China,1/20/2025,26.0789,117.9874,2522,1,,0.0,0.0
Gansu,China,1/20/2025,35.7518,104.2861,657,2,,0.0,0.0
Guangdong,China,1/20/2025,23.3417,113.4244,6461,8,,0.0,0.0
Guangxi,China,1/20/2025,23.8298,108.7881,1383,2,,0.0,0.0
Guizhou,China,1/20/2025,26.8154,106.8748,171,2,,0.0,0.0
Hainan,China,1/20/2025,19.1959,109.7453,193,6,,0.0,0.0
Hebei,China,1/20/2025,37.8957,114.9042,1858,7,,0.0,0.0
Heilongjiang,China,1/20/2025,47.862,127.7615,2289,13,,0.0,0.0
Henan,China,1/20/2025,33.882,113.614,2726,22,,0.0,0.0
Hong Kong,China,1/20/2025,22.3,114.2,1061758,6119,,0.0,0.0
Hubei,China,1/20/2025,30.9756,112.2707,68391,4512,,0.0,0.0
Hunan,China,1/20/2025,27.6104,111.7088,1289,4,,0.0,0.0
Inner Mongolia,China,1/20/2025,44.0935,113.9448,1677,1,,0.0,0.0
